PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Fare per person,Relatives,Deck
1,0,3,0,22.0,1,0,7.25,0,0,1,3.625,1,4
2,1,1,1,38.0,1,0,71.2833,1,0,0,35.64165,1,1
3,1,3,1,26.0,0,0,7.925,0,0,1,7.925,0,2
4,1,1,1,35.0,1,0,53.1,0,0,1,26.55,1,1
5,0,3,0,35.0,0,0,8.05,0,0,1,8.05,0,2
6,0,3,0,26.0,0,0,8.4583,0,1,0,8.4583,0,2
7,0,1,0,54.0,0,0,51.8625,0,0,1,51.8625,0,2
8,0,3,0,2.0,3,1,21.075,0,0,1,4.215,4,4
9,1,3,1,27.0,0,2,11.1333,0,0,1,3.7111,2,4
10,1,2,1,14.0,1,0,30.0708,1,0,0,15.0354,1,2
11,1,3,1,4.0,1,1,16.7,0,0,1,5.566666666666666,2,4
12,1,1,1,58.0,0,0,26.55,0,0,1,26.55,0,1
13,0,3,0,20.0,0,0,8.05,0,0,1,8.05,0,2
14,0,3,0,39.0,1,5,31.275,0,0,1,4.4678571428571425,6,4
15,0,3,1,14.0,0,0,7.8542,0,0,1,7.8542,0,3
16,1,2,1,55.0,0,0,16.0,0,0,1,16.0,0,2
17,0,3,0,2.0,4,1,29.125,0,1,0,4.854166666666667,5,4
18,1,2,0,31.0,0,0,13.0,0,0,1,13.0,0,2
19,0,3,1,31.0,1,0,18.0,0,0,1,9.0,1,3
20,1,3,1,31.0,0,0,7.225,1,0,0,7.225,0,3
21,0,2,0,35.0,0,0,26.0,0,0,1,26.0,0,2
22,1,2,0,34.0,0,0,13.0,0,0,1,13.0,0,2
23,1,3,1,15.0,0,0,8.0292,0,1,0,8.0292,0,2
24,1,1,0,28.0,0,0,35.5,0,0,1,35.5,0,0
25,0,3,1,8.0,3,1,21.075,0,0,1,4.215,4,4
26,1,3,1,38.0,1,5,31.3875,0,0,1,4.483928571428572,6,4
27,0,3,0,26.0,0,0,7.225,1,0,0,7.225,0,3
28,0,1,0,19.0,3,2,263.0,0,0,1,43.833333333333336,5,1
29,1,3,1,18.0,0,0,7.8792,0,1,0,7.8792,0,3
30,0,3,0,26.0,0,0,7.8958,0,0,1,7.8958,0,3
31,0,1,0,40.0,0,0,27.7208,1,0,0,27.7208,0,1
32,1,1,1,41.5,1,0,146.5208,1,0,0,73.2604,1,1
33,1,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
34,0,2,0,66.0,0,0,10.5,0,0,1,10.5,0,2
35,0,1,0,28.0,1,0,82.1708,1,0,0,41.0854,1,1
36,0,1,0,42.0,1,0,52.0,0,0,1,26.0,1,1
37,1,3,0,26.0,0,0,7.2292,1,0,0,7.2292,0,3
38,0,3,0,21.0,0,0,8.05,0,0,1,8.05,0,2
39,0,3,1,18.0,2,0,18.0,0,0,1,6.0,2,3
40,1,3,1,14.0,1,0,11.2417,1,0,0,5.62085,1,4
41,0,3,1,40.0,1,0,9.475,0,0,1,4.7375,1,4
42,0,2,1,27.0,1,0,21.0,0,0,1,10.5,1,2
43,0,3,0,26.0,0,0,7.8958,1,0,0,7.8958,0,3
44,1,2,1,3.0,1,2,41.5792,1,0,0,10.3948,3,2
45,1,3,1,19.0,0,0,7.8792,0,1,0,7.8792,0,3
46,0,3,0,26.0,0,0,8.05,0,0,1,8.05,0,2
47,0,3,0,26.0,1,0,15.5,0,1,0,7.75,1,2
48,1,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
49,0,3,0,26.0,2,0,21.6792,1,0,0,7.226400000000001,2,3
50,0,3,1,18.0,1,0,17.8,0,0,1,8.9,1,3
51,0,3,0,7.0,4,1,39.6875,0,0,1,6.614583333333333,5,3
52,0,3,0,21.0,0,0,7.8,0,0,1,7.8,0,3
53,1,1,1,49.0,1,0,76.7292,1,0,0,38.3646,1,2
54,1,2,1,29.0,1,0,26.0,0,0,1,13.0,1,2
55,0,1,0,65.0,0,1,61.9792,1,0,0,30.9896,1,1
56,1,1,0,40.0,0,0,35.5,0,0,1,35.5,0,1
57,1,2,1,21.0,0,0,10.5,0,0,1,10.5,0,2
58,0,3,0,28.5,0,0,7.2292,1,0,0,7.2292,0,3
59,1,2,1,5.0,1,2,27.75,0,0,1,6.9375,3,3
60,0,3,0,11.0,5,2,46.9,0,0,1,5.8625,7,4
61,0,3,0,22.0,0,0,7.2292,1,0,0,7.2292,0,3
62,1,1,1,38.0,0,0,80.0,0,0,1,80.0,0,1
63,0,1,0,45.0,1,0,83.475,0,0,1,41.7375,1,1
64,0,3,0,4.0,3,2,27.9,0,0,1,4.6499999999999995,5,4
65,0,1,0,40.0,0,0,27.7208,1,0,0,27.7208,0,1
66,1,3,0,4.0,1,1,15.2458,1,0,0,5.081933333333333,2,4
67,1,2,1,29.0,0,0,10.5,0,0,1,10.5,0,3
68,0,3,0,19.0,0,0,8.1583,0,0,1,8.1583,0,2
69,1,3,1,17.0,4,2,7.925,0,0,1,1.1321428571428571,6,4
70,0,3,0,26.0,2,0,8.6625,0,0,1,2.8874999999999997,2,4
71,0,2,0,32.0,0,0,10.5,0,0,1,10.5,0,2
72,0,3,1,16.0,5,2,46.9,0,0,1,5.8625,7,4
73,0,2,0,21.0,0,0,73.5,0,0,1,73.5,0,2
74,0,3,0,26.0,1,0,14.4542,1,0,0,7.2271,1,2
75,1,3,0,32.0,0,0,56.4958,0,0,1,56.4958,0,3
76,0,3,0,25.0,0,0,7.65,0,0,1,7.65,0,3
77,0,3,0,26.0,0,0,7.8958,0,0,1,7.8958,0,3
78,0,3,0,26.0,0,0,8.05,0,0,1,8.05,0,2
79,1,2,0,0.83,0,2,29.0,0,0,1,9.666666666666666,2,3
80,1,3,1,30.0,0,0,12.475,0,0,1,12.475,0,2
81,0,3,0,22.0,0,0,9.0,0,0,1,9.0,0,2
82,1,3,0,29.0,0,0,9.5,0,0,1,9.5,0,2
83,1,3,1,18.0,0,0,7.7875,0,1,0,7.7875,0,3
84,0,1,0,28.0,0,0,47.1,0,0,1,47.1,0,0
85,1,2,1,17.0,0,0,10.5,0,0,1,10.5,0,2
86,1,3,1,33.0,3,0,15.85,0,0,1,3.9625,3,4
87,0,3,0,16.0,1,3,34.375,0,0,1,6.875,4,3
88,0,3,0,26.0,0,0,8.05,0,0,1,8.05,0,2
89,1,1,1,23.0,3,2,263.0,0,0,1,43.833333333333336,5,1
90,0,3,0,24.0,0,0,8.05,0,0,1,8.05,0,2
91,0,3,0,29.0,0,0,8.05,0,0,1,8.05,0,2
92,0,3,0,20.0,0,0,7.8542,0,0,1,7.8542,0,3
93,0,1,0,46.0,1,0,61.175,0,0,1,30.5875,1,2
94,0,3,0,26.0,1,2,20.575,0,0,1,5.14375,3,4
95,0,3,0,59.0,0,0,7.25,0,0,1,7.25,0,3
96,0,3,0,26.0,0,0,8.05,0,0,1,8.05,0,2
97,0,1,0,71.0,0,0,34.6542,1,0,0,34.6542,0,0
98,1,1,0,23.0,0,1,63.3583,1,0,0,31.67915,1,2
99,1,2,1,34.0,0,1,23.0,0,0,1,11.5,1,2
100,0,2,0,34.0,1,0,26.0,0,0,1,13.0,1,2
101,0,3,1,28.0,0,0,7.8958,0,0,1,7.8958,0,3
102,0,3,0,26.0,0,0,7.8958,0,0,1,7.8958,0,3
103,0,1,0,21.0,0,1,77.2875,0,0,1,38.64375,1,2
104,0,3,0,33.0,0,0,8.6542,0,0,1,8.6542,0,2
105,0,3,0,37.0,2,0,7.925,0,0,1,2.6416666666666666,2,4
106,0,3,0,28.0,0,0,7.8958,0,0,1,7.8958,0,3
107,1,3,1,21.0,0,0,7.65,0,0,1,7.65,0,3
108,1,3,0,26.0,0,0,7.775,0,0,1,7.775,0,3
109,0,3,0,38.0,0,0,7.8958,0,0,1,7.8958,0,3
110,1,3,1,18.0,1,0,24.15,0,1,0,12.075,1,3
111,0,1,0,47.0,0,0,52.0,0,0,1,52.0,0,1
112,0,3,1,14.5,1,0,14.4542,1,0,0,7.2271,1,2
113,0,3,0,22.0,0,0,8.05,0,0,1,8.05,0,2
114,0,3,1,20.0,1,0,9.825,0,0,1,4.9125,1,4
115,0,3,1,17.0,0,0,14.4583,1,0,0,14.4583,0,2
116,0,3,0,21.0,0,0,7.925,0,0,1,7.925,0,2
117,0,3,0,70.5,0,0,7.75,0,1,0,7.75,0,3
118,0,2,0,29.0,1,0,21.0,0,0,1,10.5,1,2
119,0,1,0,24.0,0,1,247.5208,1,0,0,123.7604,1,1
120,0,3,1,2.0,4,2,31.275,0,0,1,4.4678571428571425,6,4
121,0,2,0,21.0,2,0,73.5,0,0,1,24.5,2,2
122,0,3,0,26.0,0,0,8.05,0,0,1,8.05,0,2
123,0,2,0,32.5,1,0,30.0708,1,0,0,15.0354,1,2
124,1,2,1,32.5,0,0,13.0,0,0,1,13.0,0,2
125,0,1,0,54.0,0,1,77.2875,0,0,1,38.64375,1,2
126,1,3,0,12.0,1,0,11.2417,1,0,0,5.62085,1,4
127,0,3,0,26.0,0,0,7.75,0,1,0,7.75,0,3
128,1,3,0,24.0,0,0,7.1417,0,0,1,7.1417,0,3
129,1,3,1,18.0,1,1,22.3583,1,0,0,7.452766666666666,2,3
130,0,3,0,45.0,0,0,6.975,0,0,1,6.975,0,3
131,0,3,0,33.0,0,0,7.8958,1,0,0,7.8958,0,3
132,0,3,0,20.0,0,0,7.05,0,0,1,7.05,0,3
133,0,3,1,47.0,1,0,14.5,0,0,1,7.25,1,2
134,1,2,1,29.0,1,0,26.0,0,0,1,13.0,1,2
135,0,2,0,25.0,0,0,13.0,0,0,1,13.0,0,2
136,0,2,0,23.0,0,0,15.0458,1,0,0,15.0458,0,2
137,1,1,1,19.0,0,2,26.2833,0,0,1,8.7611,2,2
138,0,1,0,37.0,1,0,53.1,0,0,1,26.55,1,1
139,0,3,0,16.0,0,0,9.2167,0,0,1,9.2167,0,2
140,0,1,0,24.0,0,0,79.2,1,0,0,79.2,0,1
141,0,3,1,31.0,0,2,15.2458,1,0,0,5.081933333333333,2,4
142,1,3,1,22.0,0,0,7.75,0,0,1,7.75,0,3
143,1,3,1,24.0,1,0,15.85,0,0,1,7.925,1,2
144,0,3,0,19.0,0,0,6.75,0,1,0,6.75,0,3
145,0,2,0,18.0,0,0,11.5,0,0,1,11.5,0,2
146,0,2,0,19.0,1,1,36.75,0,0,1,12.25,2,2
147,1,3,0,27.0,0,0,7.7958,0,0,1,7.7958,0,3
148,0,3,1,9.0,2,2,34.375,0,0,1,6.875,4,3
149,0,2,0,36.5,0,2,26.0,0,0,1,8.666666666666666,2,3
150,0,2,0,42.0,0,0,13.0,0,0,1,13.0,0,2
151,0,2,0,51.0,0,0,12.525,0,0,1,12.525,0,2
152,1,1,1,22.0,1,0,66.6,0,0,1,33.3,1,1
153,0,3,0,55.5,0,0,8.05,0,0,1,8.05,0,2
154,0,3,0,40.5,0,2,14.5,0,0,1,4.833333333333333,2,4
155,0,3,0,26.0,0,0,7.3125,0,0,1,7.3125,0,3
156,0,1,0,51.0,0,1,61.3792,1,0,0,30.6896,1,2
157,1,3,1,16.0,0,0,7.7333,0,1,0,7.7333,0,3
158,0,3,0,30.0,0,0,8.05,0,0,1,8.05,0,2
159,0,3,0,26.0,0,0,8.6625,0,0,1,8.6625,0,2
160,0,3,0,4.0,8,2,69.55,0,0,1,6.322727272727272,10,3
161,0,3,0,44.0,0,1,16.1,0,0,1,8.05,1,2
162,1,2,1,40.0,0,0,15.75,0,0,1,15.75,0,2
163,0,3,0,26.0,0,0,7.775,0,0,1,7.775,0,3
164,0,3,0,17.0,0,0,8.6625,0,0,1,8.6625,0,2
165,0,3,0,1.0,4,1,39.6875,0,0,1,6.614583333333333,5,3
166,1,3,0,9.0,0,2,20.525,0,0,1,6.841666666666666,2,3
167,1,1,1,41.5,0,1,55.0,0,0,1,27.5,1,2
168,0,3,1,45.0,1,4,27.9,0,0,1,4.6499999999999995,5,4
169,0,1,0,40.0,0,0,25.925,0,0,1,25.925,0,2
170,0,3,0,28.0,0,0,56.4958,0,0,1,56.4958,0,3
171,0,1,0,61.0,0,0,33.5,0,0,1,33.5,0,1
172,0,3,0,4.0,4,1,29.125,0,1,0,4.854166666666667,5,4
173,1,3,1,1.0,1,1,11.1333,0,0,1,3.7111,2,4
174,0,3,0,21.0,0,0,7.925,0,0,1,7.925,0,2
175,0,1,0,56.0,0,0,30.6958,1,0,0,30.6958,0,0
176,0,3,0,18.0,1,1,7.8542,0,0,1,2.6180666666666665,2,4
177,0,3,0,4.0,3,1,25.4667,0,0,1,5.0933399999999995,4,4
178,0,1,1,50.0,0,0,28.7125,1,0,0,28.7125,0,1
179,0,2,0,30.0,0,0,13.0,0,0,1,13.0,0,2
180,0,3,0,36.0,0,0,0.0,0,0,1,0.0,0,4
181,0,3,1,18.0,8,2,69.55,0,0,1,6.322727272727272,10,3
182,0,2,0,31.0,0,0,15.05,1,0,0,15.05,0,2
183,0,3,0,9.0,4,2,31.3875,0,0,1,4.483928571428572,6,4
184,1,2,0,1.0,2,1,39.0,0,0,1,9.75,3,3
185,1,3,1,4.0,0,2,22.025,0,0,1,7.341666666666666,2,3
186,0,1,0,40.0,0,0,50.0,0,0,1,50.0,0,0
187,1,3,1,31.0,1,0,15.5,0,1,0,7.75,1,2
188,1,1,0,45.0,0,0,26.55,0,0,1,26.55,0,1
189,0,3,0,40.0,1,1,15.5,0,1,0,5.166666666666667,2,4
190,0,3,0,36.0,0,0,7.8958,0,0,1,7.8958,0,3
191,1,2,1,32.0,0,0,13.0,0,0,1,13.0,0,2
192,0,2,0,19.0,0,0,13.0,0,0,1,13.0,0,2
193,1,3,1,19.0,1,0,7.8542,0,0,1,3.9271,1,4
194,1,2,0,3.0,1,1,26.0,0,0,1,8.666666666666666,2,3
195,1,1,1,44.0,0,0,27.7208,1,0,0,27.7208,0,1
196,1,1,1,58.0,0,0,146.5208,1,0,0,146.5208,0,1
197,0,3,0,26.0,0,0,7.75,0,1,0,7.75,0,3
198,0,3,0,42.0,0,1,8.4042,0,0,1,4.2021,1,4
199,1,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
200,0,2,1,24.0,0,0,13.0,0,0,1,13.0,0,2
201,0,3,0,28.0,0,0,9.5,0,0,1,9.5,0,2
202,0,3,0,26.0,8,2,69.55,0,0,1,6.322727272727272,10,3
203,0,3,0,34.0,0,0,6.4958,0,0,1,6.4958,0,3
204,0,3,0,45.5,0,0,7.225,1,0,0,7.225,0,3
205,1,3,0,18.0,0,0,8.05,0,0,1,8.05,0,2
206,0,3,1,2.0,0,1,10.4625,0,0,1,5.23125,1,4
207,0,3,0,32.0,1,0,15.85,0,0,1,7.925,1,2
208,1,3,0,26.0,0,0,18.7875,1,0,0,18.7875,0,3
209,1,3,1,16.0,0,0,7.75,0,1,0,7.75,0,3
210,1,1,0,40.0,0,0,31.0,1,0,0,31.0,0,0
211,0,3,0,24.0,0,0,7.05,0,0,1,7.05,0,3
212,1,2,1,35.0,0,0,21.0,0,0,1,21.0,0,2
213,0,3,0,22.0,0,0,7.25,0,0,1,7.25,0,3
214,0,2,0,30.0,0,0,13.0,0,0,1,13.0,0,2
215,0,3,0,26.0,1,0,7.75,0,1,0,3.875,1,4
216,1,1,1,31.0,1,0,113.275,1,0,0,56.6375,1,2
217,1,3,1,27.0,0,0,7.925,0,0,1,7.925,0,2
218,0,2,0,42.0,1,0,27.0,0,0,1,13.5,1,2
219,1,1,1,32.0,0,0,76.2917,1,0,0,76.2917,0,2
220,0,2,0,30.0,0,0,10.5,0,0,1,10.5,0,2
221,1,3,0,16.0,0,0,8.05,0,0,1,8.05,0,2
222,0,2,0,27.0,0,0,13.0,0,0,1,13.0,0,2
223,0,3,0,51.0,0,0,8.05,0,0,1,8.05,0,2
224,0,3,0,26.0,0,0,7.8958,0,0,1,7.8958,0,3
225,1,1,0,38.0,1,0,90.0,0,0,1,45.0,1,1
226,0,3,0,22.0,0,0,9.35,0,0,1,9.35,0,2
227,1,2,0,19.0,0,0,10.5,0,0,1,10.5,0,2
228,0,3,0,20.5,0,0,7.25,0,0,1,7.25,0,3
229,0,2,0,18.0,0,0,13.0,0,0,1,13.0,0,2
230,0,3,1,18.0,3,1,25.4667,0,0,1,5.0933399999999995,4,4
231,1,1,1,35.0,1,0,83.475,0,0,1,41.7375,1,1
232,0,3,0,29.0,0,0,7.775,0,0,1,7.775,0,3
233,0,2,0,59.0,0,0,13.5,0,0,1,13.5,0,2
234,1,3,1,5.0,4,2,31.3875,0,0,1,4.483928571428572,6,4
235,0,2,0,24.0,0,0,10.5,0,0,1,10.5,0,2
236,0,3,1,18.0,0,0,7.55,0,0,1,7.55,0,3
237,0,2,0,44.0,1,0,26.0,0,0,1,13.0,1,2
238,1,2,1,8.0,0,2,26.25,0,0,1,8.75,2,3
239,0,2,0,19.0,0,0,10.5,0,0,1,10.5,0,2
240,0,2,0,33.0,0,0,12.275,0,0,1,12.275,0,2
241,0,3,1,18.0,1,0,14.4542,1,0,0,7.2271,1,2
242,1,3,1,18.0,1,0,15.5,0,1,0,7.75,1,2
243,0,2,0,29.0,0,0,10.5,0,0,1,10.5,0,2
244,0,3,0,22.0,0,0,7.125,0,0,1,7.125,0,3
245,0,3,0,30.0,0,0,7.225,1,0,0,7.225,0,3
246,0,1,0,44.0,2,0,90.0,0,1,0,30.0,2,1
247,0,3,1,25.0,0,0,7.775,0,0,1,7.775,0,3
248,1,2,1,24.0,0,2,14.5,0,0,1,4.833333333333333,2,3
249,1,1,0,37.0,1,1,52.5542,0,0,1,17.518066666666666,2,2
250,0,2,0,54.0,1,0,26.0,0,0,1,13.0,1,2
251,0,3,0,26.0,0,0,7.25,0,0,1,7.25,0,3
252,0,3,1,29.0,1,1,10.4625,0,0,1,3.4875000000000003,2,4
253,0,1,0,62.0,0,0,26.55,0,0,1,26.55,0,1
254,0,3,0,30.0,1,0,16.1,0,0,1,8.05,1,2
255,0,3,1,41.0,0,2,20.2125,0,0,1,6.7375,2,3
256,1,3,1,29.0,0,2,15.2458,1,0,0,5.081933333333333,2,4
257,1,1,1,41.5,0,0,79.2,1,0,0,79.2,0,1
258,1,1,1,30.0,0,0,86.5,0,0,1,86.5,0,1
259,1,1,1,35.0,0,0,512.3292,1,0,0,512.3292,0,1
260,1,2,1,50.0,0,1,26.0,0,0,1,13.0,1,2
261,0,3,0,26.0,0,0,7.75,0,1,0,7.75,0,3
262,1,3,0,3.0,4,2,31.3875,0,0,1,4.483928571428572,6,4
263,0,1,0,52.0,1,1,79.65,0,0,1,26.55,2,2
264,0,1,0,40.0,0,0,0.0,0,0,1,0.0,0,1
265,0,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
266,0,2,0,36.0,0,0,10.5,0,0,1,10.5,0,2
267,0,3,0,16.0,4,1,39.6875,0,0,1,6.614583333333333,5,3
268,1,3,0,25.0,1,0,7.775,0,0,1,3.8875,1,4
269,1,1,1,58.0,0,1,153.4625,0,0,1,76.73125,1,1
270,1,1,1,35.0,0,0,135.6333,0,0,1,135.6333,0,1
271,0,1,0,40.0,0,0,31.0,0,0,1,31.0,0,0
272,1,3,0,25.0,0,0,0.0,0,0,1,0.0,0,4
273,1,2,1,41.0,0,1,19.5,0,0,1,9.75,1,3
274,0,1,0,37.0,0,1,29.7,1,0,0,14.85,1,1
275,1,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
276,1,1,1,63.0,1,0,77.9583,0,0,1,38.97915,1,2
277,0,3,1,45.0,0,0,7.75,0,0,1,7.75,0,3
278,0,2,0,31.0,0,0,0.0,0,0,1,0.0,0,3
279,0,3,0,7.0,4,1,29.125,0,1,0,4.854166666666667,5,4
280,1,3,1,35.0,1,1,20.25,0,0,1,6.75,2,3
281,0,3,0,65.0,0,0,7.75,0,1,0,7.75,0,3
282,0,3,0,28.0,0,0,7.8542,0,0,1,7.8542,0,3
283,0,3,0,16.0,0,0,9.5,0,0,1,9.5,0,2
284,1,3,0,19.0,0,0,8.05,0,0,1,8.05,0,2
285,0,1,0,40.0,0,0,26.0,0,0,1,26.0,0,0
286,0,3,0,33.0,0,0,8.6625,1,0,0,8.6625,0,2
287,1,3,0,30.0,0,0,9.5,0,0,1,9.5,0,2
288,0,3,0,22.0,0,0,7.8958,0,0,1,7.8958,0,3
289,1,2,0,42.0,0,0,13.0,0,0,1,13.0,0,2
290,1,3,1,22.0,0,0,7.75,0,1,0,7.75,0,3
291,1,1,1,26.0,0,0,78.85,0,0,1,78.85,0,1
292,1,1,1,19.0,1,0,91.0792,1,0,0,45.5396,1,1
293,0,2,0,36.0,0,0,12.875,1,0,0,12.875,0,2
294,0,3,1,24.0,0,0,8.85,0,0,1,8.85,0,2
295,0,3,0,24.0,0,0,7.8958,0,0,1,7.8958,0,3
